timestamp_ms,F1_405nm,F2_425nm,FZ_450nm,F3_475nm,F4_515nm,F5_550nm,FY_555nm,FXL_600nm,F6_640nm,F7_690nm,F8_745nm,NIR_855nm,VIS_clear,R_approx,G_approx,B_approx
17472,0,0,2,2,3,1,9,11,14,12,1,0,576,25,13,4
18002,0,0,2,2,3,1,9,11,14,12,1,0,572,25,13,4
18532,0,0,2,2,3,1,8,11,14,12,1,0,565,25,12,4
19062,0,0,2,2,3,1,9,11,14,13,1,0,587,25,13,4
19594,0,0,2,2,4,1,9,12,15,13,1,0,604,26,14,4
20124,0,0,2,2,3,1,9,11,14,13,1,0,586,26,13,4
20654,0,0,1,2,3,1,7,10,12,11,1,0,510,22,11,3
21184,0,0,1,2,3,1,7,10,12,11,1,0,505,22,11,3
21714,0,0,1,2,3,1,7,10,12,11,1,0,505,22,11,3
22244,0,0,1,2,3,1,7,10,12,11,1,0,505,22,11,3
22776,0,0,1,2,3,1,7,10,12,11,1,0,509,22,11,3
23308,0,0,1,2,3,1,8,10,13,11,1,0,519,23,12,3
23838,0,0,2,2,3,1,9,11,14,13,1,0,594,25,13,4
24368,0,0,2,2,4,2,10,13,16,14,1,1,648,28,16,4
24898,0,0,2,2,4,2,9,12,15,14,1,0,630,27,15,4
25428,0,0,2,2,4,2,10,12,16,14,2,1,644,28,16,4
25956,0,0,2,2,4,1,10,12,16,14,1,0,635,28,15,4
26486,0,0,2,2,4,2,9,12,15,13,1,0,618,27,15,4
27016,0,1,2,2,4,2,11,14,18,17,2,0,748,32,17,5
27546,0,1,3,3,6,2,16,20,25,23,3,1,1028,45,24,7
28076,0,1,2,3,5,2,12,16,20,17,2,1,798,36,19,6
28606,0,1,2,2,4,2,10,13,18,16,2,1,713,31,16,5
29138,0,1,2,3,5,2,13,17,21,18,2,1,845,37,20,6
29668,0,0,2,2,4,1,10,13,16,14,2,1,678,30,16,4
30198,0,0,2,2,4,1,9,12,15,13,1,0,607,27,14,4
30728,0,0,2,2,4,2,9,12,15,13,1,0,619,27,15,4
31260,0,0,2,2,3,1,8,11,13,12,1,0,549,24,12,4
31790,0,0,2,2,4,1,9,12,15,13,1,0,605,27,14,4
32320,0,1,2,3,5,2,12,15,19,17,2,1,755,34,18,5
32850,0,1,2,3,5,2,12,16,19,17,2,1,793,35,19,5
33380,0,1,2,3,5,2,12,16,20,18,2,1,808,35,19,6
33910,0,1,2,3,5,2,13,16,20,18,2,1,813,36,20,6
34440,0,1,2,2,4,2,11,14,17,16,2,1,722,31,17,5
34970,0,1,2,2,4,2,12,15,18,16,2,1,740,33,18,5
35500,0,0,2,2,4,2,10,12,15,14,1,0,625,28,16,4
36030,0,0,2,2,3,1,9,11,14,12,1,0,569,26,13,4
36560,0,0,2,2,4,1,9,12,14,13,1,0,591,26,14,4
37090,0,0,1,2,3,1,7,10,11,10,1,0,466,21,11,3
37620,0,0,1,1,2,1,6,8,9,8,1,0,372,17,9,2
38150,0,0,1,2,3,1,7,9,12,12,1,0,487,21,11,3
38680,1,2,4,5,8,5,21,31,57,75,8,1,2133,88,35,11
39212,11,18,31,28,34,28,247,423,820,688,79,32,23875,1243,309,89
39742,13,24,33,37,42,29,304,558,1021,805,93,44,28057,1579,376,107
40272,17,30,43,48,59,37,370,669,1280,992,114,52,28303,1949,467,138
40802,15,28,42,43,50,28,370,671,1227,924,107,54,28230,1898,448,128
41332,13,25,38,41,53,30,318,563,1019,778,90,44,28069,1581,401,117
41862,13,25,42,43,60,32,323,555,991,752,87,43,28066,1546,415,123
42392,14,27,45,46,64,35,343,593,1071,818,95,46,28148,1664,442,132
42922,17,30,46,49,64,39,361,631,1208,976,113,50,28271,1839,464,141
43452,35,57,78,91,114,69,596,1043,2041,1649,196,91,29135,3084,778,261
43982,44,73,100,115,139,79,731,1273,2379,1856,225,122,29490,3652,949,333
44512,32,53,66,77,76,46,600,1126,2154,1668,200,101,29163,3280,722,228
45042,31,51,61,74,75,48,572,1074,2081,1636,195,94,29096,3155,695,217
45572,35,57,74,87,96,59,630,1145,2191,1716,205,102,29243,3336,785,254
46102,37,61,84,95,111,65,670,1183,2230,1740,208,107,29311,3413,846,277
46632,35,59,79,90,104,62,648,1154,2189,1704,203,103,29257,3343,814,263
47164,41,65,81,99,107,66,673,1215,2353,1851,224,113,29393,3567,846,286
47694,36,56,67,81,83,54,610,1135,2204,1745,210,101,29219,3339,747,239
48224,87,111,122,169,180,131,833,1464,2828,2266,300,167,29937,4293,1144,490
48756,108,147,168,225,240,163,995,1693,3085,2408,329,230,30273,4778,1398,648
49286,78,114,140,176,196,126,900,1545,2831,2194,284,186,29992,4376,1222,508
49816,65,97,123,151,175,111,836,1439,2667,2079,263,158,29824,4105,1121,437
50346,64,96,126,152,180,112,841,1433,2648,2055,258,156,29821,4081,1133,438
50876,55,86,119,139,171,103,807,1364,2520,1959,241,141,29707,3884,1081,398
51406,52,82,115,132,163,98,792,1337,2479,1932,236,135,29660,3816,1053,381
51936,46,77,109,124,154,92,769,1298,2404,1860,225,127,29577,3702,1015,356
52466,40,69,100,113,142,84,730,1233,2291,1782,213,115,29458,3525,956,321
52996,36,64,95,105,134,78,705,1189,2195,1703,201,108,29358,3385,917,301
53526,34,60,91,100,130,75,681,1148,2127,1662,195,102,29287,3275,887,286
54056,32,58,88,96,126,72,665,1120,2069,1600,187,98,29219,3189,863,275
54586,17,38,61,62,80,38,478,829,1459,990,115,69,27517,2288,596,178
55116,8,16,51,57,365,150,382,321,305,190,45,21,16602,627,897,131
55646,19,41,147,140,919,335,1021,725,583,389,91,46,28503,1309,2275,347
56176,19,42,156,145,936,332,1073,768,597,383,89,48,28529,1365,2341,362
56706,18,42,155,142,924,325,1069,764,591,377,88,48,28514,1354,2318,357
57236,16,36,135,123,814,287,948,671,514,329,77,42,28326,1185,2049,310
57766,15,34,128,118,779,276,899,636,489,314,75,39,28265,1125,1954,295
58296,15,34,126,117,774,270,894,631,484,307,73,39,28248,1116,1937,292
58826,15,33,124,115,763,271,873,616,478,308,74,38,28234,1095,1906,288
59356,15,32,121,112,743,263,857,606,464,299,72,37,28201,1070,1863,281
